"","동","gu","code","cctv"
"1","가락1동","송파구",1124066,0.464322487
"2","가락2동","송파구",1124067,0.464322487
"3","가락본동","송파구",1124065,0.464322487
"4","가리봉동","구로구",1117070,0.463925827
"5","가산동","금천구",1118051,0.305944659
"6","가양1동","강서구",1116064,0.29581589
"7","가양2동","강서구",1116065,0.29581589
"8","가양3동","강서구",1116066,0.29581589
"9","가회동","종로구",1101060,0.295603883
"10","갈현1동","은평구",1112055,0.480012358
"11","갈현2동","은평구",1112056,0.480012358
"12","강일동","강동구",1125051,0.802558907
"13","개봉1동","구로구",1117072,0.463925827
"14","개봉2동","구로구",1117064,0.463925827
"15","개봉3동","구로구",1117065,0.463925827
"16","개포1동","강남구",1123068,2.103431263
"17","개포2동","강남구",1123080,2.103431263
"18","개포4동","강남구",1123071,2.103431263
"19","거여1동","송파구",1124053,0.464322487
"20","거여2동","송파구",1124054,0.464322487
"21","고덕1동","강동구",1125055,0.802558907
"22","고덕2동","강동구",1125056,0.802558907
"23","고척1동","구로구",1117061,0.463925827
"24","고척2동","구로구",1117062,0.463925827
"25","공덕동","마포구",1114077,0.314850839
"26","공릉1동","노원구",1111079,0.486077647
"27","공릉2동","노원구",1111056,0.486077647
"28","공항동","강서구",1116069,0.29581589
"29","광장동","광진구",1105063,0.251689379
"30","광희동","중구",1102059,0.153731482
"31","교남동","종로구",1101058,0.295603883
"32","구로1동","구로구",1117052,0.463925827
"33","구로2동","구로구",1117071,0.463925827
"34","구로3동","구로구",1117054,0.463925827
"35","구로4동","구로구",1117055,0.463925827
"36","구로5동","구로구",1117056,0.463925827
"37","구산동","은평구",1112057,0.480012358
"38","구의1동","광진구",1105060,0.251689379
"39","구의2동","광진구",1105061,0.251689379
"40","구의3동","광진구",1105062,0.251689379
"41","군자동","광진구",1105054,0.251689379
"42","금호1가동","성동구",1104059,0.221037581
"43","금호2.3가동","성동구",1104072,0.221037581
"44","금호4가동","성동구",1104062,0.221037581
"45","길동","강동구",1125074,0.802558907
"46","길음1동","성북구",1108066,0.405292278
"47","길음2동","성북구",1108068,0.405292278
"48","낙성대동","관악구",1121058,0.591651669
"49","난곡동","관악구",1121081,0.591651669
"50","난향동","관악구",1121071,0.591651669
"51","남가좌1동","서대문구",1113069,0.335271061
"52","남가좌2동","서대문구",1113070,0.335271061
"53","남영동","용산구",1103053,0.416053686
"54","남현동","관악구",1121063,0.591651669
"55","내곡동","서초구",1122068,0.491841786
"56","노량진1동","동작구",1120072,0.268762902
"57","노량진2동","동작구",1120052,0.268762902
"58","녹번동","은평구",1112051,0.480012358
"59","논현1동","강남구",1123052,2.103431263
"60","논현2동","강남구",1123053,2.103431263
"61","능동","광진구",1105059,0.251689379
"62","다산동","중구",1102070,0.153731482
"63","답십리1동","동대문구",1106091,0.340924687
"64","답십리2동","동대문구",1106086,0.340924687
"65","당산1동","영등포구",1119055,0.32394311
"66","당산2동","영등포구",1119056,0.32394311
"67","대림1동","영등포구",1119070,0.32394311
"68","대림2동","영등포구",1119071,0.32394311
"69","대림3동","영등포구",1119072,0.32394311
"70","대방동","동작구",1120068,0.268762902
"71","대조동","은평구",1112058,0.480012358
"72","대치1동","강남구",1123060,2.103431263
"73","대치2동","강남구",1123079,2.103431263
"74","대치4동","강남구",1123063,2.103431263
"75","대학동","관악구",1121073,0.591651669
"76","대흥동","마포구",1114060,0.314850839
"77","도곡1동","강남구",1123066,2.103431263
"78","도곡2동","강남구",1123067,2.103431263
"79","도림동","영등포구",1119075,0.32394311
"80","도봉1동","도봉구",1110064,0.240858753
"81","도봉2동","도봉구",1110065,0.240858753
"82","도화동","마포구",1114075,0.314850839
"83","독산1동","금천구",1118052,0.305944659
"84","독산2동","금천구",1118053,0.305944659
"85","독산3동","금천구",1118054,0.305944659
"86","독산4동","금천구",1118055,0.305944659
"87","돈암1동","성북구",1108058,0.405292278
"88","돈암2동","성북구",1108059,0.405292278
"89","동선동","성북구",1108083,0.405292278
"90","동화동","중구",1102073,0.153731482
"91","둔촌1동","강동구",1125070,0.802558907
"92","둔촌2동","강동구",1125071,0.802558907
"93","등촌1동","강서구",1116052,0.29581589
"94","등촌2동","강서구",1116053,0.29581589
"95","등촌3동","강서구",1116054,0.29581589
"96","마장동","성동구",1104054,0.221037581
"97","마천1동","송파구",1124055,0.464322487
"98","마천2동","송파구",1124056,0.464322487
"99","망우3동","중랑구",1107068,0.211373461
"100","망우본동","중랑구",1107073,0.211373461
"101","망원1동","마포구",1114069,0.314850839
"102","망원2동","마포구",1114070,0.314850839
"103","면목2동","중랑구",1107052,0.211373461
"104","면목3.8동","중랑구",1107072,0.211373461
"105","면목4동","중랑구",1107054,0.211373461
"106","면목5동","중랑구",1107055,0.211373461
"107","면목7동","중랑구",1107057,0.211373461
"108","면목본동","중랑구",1107071,0.211373461
"109","명동","중구",1102055,0.153731482
"110","명일1동","강동구",1125053,0.802558907
"111","명일2동","강동구",1125054,0.802558907
"112","목1동","양천구",1115051,0.672636893
"113","목2동","양천구",1115052,0.672636893
"114","목3동","양천구",1115053,0.672636893
"115","목4동","양천구",1115054,0.672636893
"116","목5동","양천구",1115071,0.672636893
"117","무악동","종로구",1101057,0.295603883
"118","묵1동","중랑구",1107064,0.211373461
"119","묵2동","중랑구",1107065,0.211373461
"120","문래동","영등포구",1119076,0.32394311
"121","문정1동","송파구",1124068,0.464322487
"122","문정2동","송파구",1124069,0.464322487
