"","행정동","자치구","전체세대수","X1인세대","code","X1인세대밀도"
"1","가락1동","송파구",356,133,1124066,0.373595505617978
"2","가락2동","송파구",12244,2711,1124067,0.221414570401829
"3","가락본동","송파구",11580,4112,1124065,0.355094991364421
"4","가리봉동","구로구",5915,3796,1117070,0.641758241758242
"5","가산동","금천구",12582,8664,1118051,0.688602765855985
"6","가양1동","강서구",17895,10749,1116064,0.600670578373847
"7","가양2동","강서구",8135,3752,1116065,0.461216963736939
"8","가양3동","강서구",7710,2846,1116066,0.369130998702983
"9","가회동","종로구",2074,935,1101060,0.450819672131148
"10","갈현1동","은평구",11111,4263,1112055,0.383673836738367
"11","갈현2동","은평구",12491,3971,1112056,0.317908894403971
"12","강일동","강동구",11210,2156,1125051,0.192328278322926
"13","개봉1동","구로구",13992,4655,1117072,0.332690108633505
"14","개봉2동","구로구",12726,3159,1117064,0.248231966053748
"15","개봉3동","구로구",8683,2464,1117065,0.283772889554302
"16","개포1동","강남구",5222,1631,1123068,0.312332439678284
"17","개포2동","강남구",4948,1146,1123080,0.231608730800323
"18","개포4동","강남구",7829,2953,1123071,0.377187380252906
"19","거여1동","송파구",5300,1679,1124053,0.316792452830189
"20","거여2동","송파구",7246,2394,1124054,0.330389180237372
"21","고덕1동","강동구",9118,1524,1125055,0.167141917087081
"22","고덕2동","강동구",3551,1507,1125056,0.424387496479865
"23","고척1동","구로구",9490,2760,1117061,0.290832455216017
"24","고척2동","구로구",11684,3593,1117062,0.307514549811708
"25","공덕동","마포구",18407,7859,1114077,0.426957135872223
"26","공릉1동","노원구",17930,7702,1111079,0.429559397657557
"27","공릉2동","노원구",16079,5087,1111056,0.316375396479881
"28","공항동","강서구",12508,5217,1116069,0.417093060441318
"29","광장동","광진구",11957,2105,1105063,0.176047503554403
"30","광희동","중구",2906,1807,1102059,0.621816930488644
"31","교남동","종로구",4506,1582,1101058,0.351087438970262
"32","구로1동","구로구",7825,1666,1117052,0.212907348242811
"33","구로2동","구로구",12903,6030,1117071,0.467333178330621
"34","구로3동","구로구",13563,7805,1117054,0.575462655754627
"35","구로4동","구로구",10685,4831,1117055,0.45212915301825
"36","구로5동","구로구",14279,6490,1117056,0.454513621402059
"37","구산동","은평구",12726,3606,1112057,0.283356907119283
"38","구의1동","광진구",11525,5853,1105060,0.507852494577007
"39","구의2동","광진구",10680,3752,1105061,0.351310861423221
"40","구의3동","광진구",12126,3923,1105062,0.323519709714663
"41","군자동","광진구",10356,5484,1105054,0.52954808806489
"42","금호1가동","성동구",6443,1989,1104059,0.308707124010554
"43","금호2.3가동","성동구",10267,3456,1104072,0.336612447647804
"44","금호4가동","성동구",6460,2162,1104062,0.334674922600619
"45","길동","강동구",20998,7785,1125074,0.370749595199543
"46","길음1동","성북구",12980,2555,1108066,0.196841294298921
"47","길음2동","성북구",4987,1905,1108068,0.381993182273912
"48","낙성대동","관악구",10546,7147,1121058,0.677697705291106
"49","난곡동","관악구",12817,4813,1121081,0.375516891628306
"50","난향동","관악구",6443,1809,1121071,0.280769827720006
"51","남가좌1동","서대문구",6079,1426,1113069,0.23457805560125
"52","남가좌2동","서대문구",10116,4202,1113070,0.415381573744563
"53","남영동","용산구",5445,4172,1103053,0.766207529843894
"54","남현동","관악구",9110,4355,1121063,0.478046103183315
"55","내곡동","서초구",7188,1950,1122068,0.271285475792988
"56","노량진1동","동작구",14597,6149,1120072,0.421250941974378
"57","노량진2동","동작구",7151,3890,1120052,0.54397986295623
"58","녹번동","은평구",14759,5957,1112051,0.403618131309709
"59","논현1동","강남구",14100,9104,1123052,0.645673758865248
"60","논현2동","강남구",11227,5824,1123053,0.518749443306315
"61","능동","광진구",6105,3294,1105059,0.53955773955774
"62","다산동","중구",6885,2971,1102070,0.431517792302106
"63","답십리1동","동대문구",11089,4238,1106091,0.382180539273154
"64","답십리2동","동대문구",12003,3963,1106086,0.330167458135466
"65","당산1동","영등포구",10191,4962,1119055,0.486900206064174
"66","당산2동","영등포구",16905,8178,1119056,0.483762200532387
