,code,X,동,gu,univ,police,소방서,학문.교육,부동산,생활,음식,의료,소매,관광,인접지하철,cctv,people_by_area,people_density,people_count,남성인구밀도,여성인구밀도,사업체.종사자비율,청년남자비율,청년여자비율,집세,범죄율,1인당 자동차 등록율
395,1124066,1,가락1동,송파구,1,0,7,1,5,1,59,4,55,1,4,0.464322487,0.1,0.37359550562,133,0.48505589779,0.51494410221,0.12289907978,0.15215852795,0.12314225053,14729.75207,17.106741573,26.23
396,1124067,2,가락2동,송파구,1,0,7,40,28,92,188,40,56,50,4,0.464322487,2.8,0.2214145704,2711,0.48663139834,0.51336860166,0.24170717758,0.14549233567,0.15087612944,14903.05344,0.49738647501,0.80
394,1124065,3,가락본동,송파구,1,2,7,23,30,99,442,42,72,137,4,0.464322487,3.6,0.35509499136,4112,0.49045295428,0.50954704572,0.63774265408,0.16781166823,0.16383713402,14372.93233,0.52590673575,1.05
273,1117070,4,가리봉동,구로구,3,1,7,13,15,77,238,8,74,63,0,0.463925827,9.5,0.64175824176,3796,0.46214229348,0.53785770652,1.8339909457,0.13385901577,0.10383811514,8763.888889,0.90718512257,1.28
276,1118051,5,가산동,금천구,0,1,2,26,84,138,870,52,208,209,2,0.305944659,3.4,0.68860276586,8664,0.46900485761,0.53099514239,2.7025268506,0.2484389288,0.19001959504,6840.629771,0.28969957082,2.04
251,1116064,6,가양1동,강서구,2,0,6,24,46,113,699,32,107,107,5,0.29581589,2.3,0.60067057837,10749,0.50084649002,0.49915350998,0.28166463247,0.18207863102,0.19450628158,18640.57633,0.30455434479,0.97
252,1116065,7,가양2동,강서구,2,0,6,5,12,34,66,21,22,17,2,0.29581589,3.8,0.46121696374,3752,0.50915109034,0.49084890966,1.3931318146,0.16640122511,0.15675344564,15376.75159,0.66994468347,1.42
253,1116066,8,가양3동,강서구,2,0,6,11,8,25,46,11,24,9,2,0.29581589,2.9,0.3691309987,2846,0.47344755774,0.52655244226,1.3171620598,0.17527723608,0.16415868673,14571.82741,0.70687418936,1.38
7,1101060,9,가회동,종로구,5,0,7,5,8,24,226,10,46,75,0,0.295603883,1.7,0.45081967213,935,0.47227683838,0.52772316162,0.74867828899,0.12967057263,0.14735794826,9333.333333,2.149951784,4.54
179,1112055,10,갈현1동,은평구,1,0,5,34,22,108,375,43,92,86,1,0.480012358,4.4,0.38367383674,4263,0.46443285603,0.53556714397,0.65196346769,0.15363812231,0.14372853251,11946.42857,0.40509405094,0.94
180,1112056,11,갈현2동,은평구,1,1,5,45,23,116,353,40,121,71,1,0.480012358,4.1,0.3179088944,3971,0.50342420651,0.49657579349,4.4091926775,0.1521819217,0.14888308383,11946.42857,0.3603394444,0.83
407,1125051,12,강일동,강동구,0,1,6,20,8,31,79,26,27,18,1,0.802558907,0.8,0.19232827832,2156,0.47653333333,0.52346666667,1.2962333333,0.12336953314,0.13431800744,6564.516129,0.39803746655,0.84
275,1117072,13,개봉1동,구로구,3,0,7,46,33,118,267,21,82,62,1,0.463925827,3.6,0.33269010863,4655,0.4771493764,0.5228506236,0.11707760129,0.14657862798,0.14009131365,17061.76471,0.38350485992,0.74
