기간,자치구,동,계,청년남자,청년여자
2016,종로구,사직동,9267.5,1161,1443.5
2016,종로구,삼청동,2779,348,384
2016,종로구,부암동,"10,371.00",1428.5,1346.5
2016,종로구,평창동,18860,2472,2522
2016,종로구,무악동,8273.5,929.5,1052
2016,종로구,교남동,4425.5,598,613
2016,종로구,가회동,4523,586.5,666.5
2016,종로구,종로1.2.3.4가동,7014.5,994,854.5
2016,종로구,종로5.6가동,5400,925.5,646
2016,종로구,이화동,8253.5,1506.5,1701.5
2016,종로구,창신1동,5515,781,620
2016,종로구,창신2동,9410.5,1361,1127.5
2016,종로구,창신3동,7491.5,1111,1068.5
2016,종로구,숭인1동,6642,1013.5,934.5
2016,종로구,숭인2동,9169,1582.5,1666
2016,종로구,청운효자동,13564.5,1804.5,2001
2016,종로구,혜화동,17371.5,3517,3262
2016,중구,소공동,1501,268.5,269
2016,중구,회현동,4899,562.5,582
2016,중구,명동,2768.5,325.5,362
2016,중구,필동,4007,704,597
2016,중구,장충동,4936.5,1111.5,924
2016,중구,광희동,4689,703,652.5
2016,중구,을지로동,1533.5,183,137.5
2016,중구,신당5동,9687,1463,1371
2016,중구,황학동,11977.5,2170,2207.5
2016,중구,중림동,8266,1193.5,1203
2016,중구,신당동,7471,1279,1153
2016,중구,다산동,15063,2535,2417.5
2016,중구,약수동,18220.5,2674,2704.5
2016,중구,청구동,14879.5,2305,2307
2016,중구,동화동,11252.5,1656.5,1665.5
2016,용산구,후암동,18141,2895,2708
2016,용산구,용산2가동,11148,1850,1729.5
2016,용산구,남영동,7466.5,1122,970
2016,용산구,원효로2동,15040.5,2060.5,2190
2016,용산구,효창동,9319,1407.5,1439
2016,용산구,용문동,12488.5,1825.5,1929
2016,용산구,이촌1동,26598.5,3036,3711
2016,용산구,이촌2동,9202.5,1353,1342
2016,용산구,이태원1동,6700.5,1097,1086.5
2016,용산구,이태원2동,9085.5,1451.5,1508.5
2016,용산구,서빙고동,13422.5,1623.5,1725
2016,용산구,보광동,15283.5,2575,2207
2016,용산구,청파동,20595.5,3478.5,3863.5
2016,용산구,원효로1동,13566,2415.5,2646
2016,용산구,한강로동,13916,2219,2268
2016,용산구,한남동,19909,3393.5,3511.5
2016,성동구,왕십리2동,16014,2502,2510.5
2016,성동구,마장동,23770,3892,3860.5
2016,성동구,사근동,11144.5,3049.5,2242
2016,성동구,행당1동,14204,2267.5,2255
2016,성동구,행당2동,25525,3522.5,3836
2016,성동구,응봉동,16671.5,2170,2363.5
2016,성동구,금호1가동,13285,1910.5,1839.5
2016,성동구,금호4가동,14275.5,2234,2314
2016,성동구,성수1가1동,16761,2800,2638
2016,성동구,성수1가2동,16506.5,2960.5,2864.5
2016,성동구,성수2가1동,18605,3049,2707.5
2016,성동구,성수2가3동,11495.5,2029.5,1922
2016,성동구,송정동,11305.5,1954.5,1625.5
2016,성동구,용답동,15712,2573.5,2211.5
2016,성동구,왕십리도선동,20986.5,3460.5,3639
2016,성동구,금호2.3가동,23298.5,3685,3778.5
2016,성동구,옥수동,23330.5,3672,4105
2016,광진구,화양동,20879.5,5562,6314
2016,광진구,군자동,20153.5,4046.5,3955
2016,광진구,중곡1동,15603,2826.5,2744
2016,광진구,중곡2동,22153,3863.5,3922.5
2016,광진구,중곡3동,17468,2966,2684
2016,광진구,중곡4동,31184.5,4940.5,4722.5
2016,광진구,능동,11174.5,2285.5,2673.5
2016,광진구,구의1동,22315,4219,4532.5
2016,광진구,구의2동,25204.5,3834,3736.5
2016,광진구,구의3동,29286.5,4685.5,4798.5
2016,광진구,광장동,36243,3975.5,4575
2016,광진구,자양1동,22305.5,3920.5,4022
2016,광진구,자양2동,26918,4376,4271.5
2016,광진구,자양3동,30222,4466.5,4802.5
2016,광진구,자양4동,22161,3634,3434.5
2016,동대문구,회기동,10442.5,2264,2281
2016,동대문구,휘경1동,13730,2546.5,2450
2016,동대문구,휘경2동,24796.5,4341.5,3984.5
2016,동대문구,청량리동,22374.5,3116,2713
2016,동대문구,용신동,30941.5,5444.5,4876
2016,동대문구,제기동,25813.5,4435,3675
2016,동대문구,전농1동,29591,4541,4090.5
2016,동대문구,전농2동,20451,2733.5,2700
2016,동대문구,답십리1동,24652,4005,4014.5
2016,동대문구,답십리2동,29210.5,4171,4000.5
2016,동대문구,장안1동,37062.5,5981,5824
2016,동대문구,장안2동,31118.5,4577.5,4393.5
2016,동대문구,이문1동,28489,5497,4820.5
2016,동대문구,이문2동,22016.5,3119,3060
2016,중랑구,면목2동,26679,4110,3720
2016,중랑구,면목4동,21438,3336,3341.5
2016,중랑구,면목5동,10850,1633.5,1514.5
2016,중랑구,면목7동,23058,3613,3431
2016,중랑구,상봉1동,25777,3787,3784.5
2016,중랑구,상봉2동,18122,3314.5,3289
