"날짜","도시","노선번호","지하철역ID","지하철역명","승차승객수","하차승객수","시도","구군","동면","나머지주소"
"2016-01-01 00:00:00","서울","1호선","0150","서울역","1890738","1631806","서울특별시","중구","남대문로5가","73-6 서울역 1호선"
"2016-01-01 00:00:00","서울","1호선","0151","시청","749393","742386","서울특별시","중구","정동","5-5 시청역 1호선"
"2016-01-01 00:00:00","서울","1호선","0152","종각","1457527","1370192","서울특별시","종로구","종로1가","54 종각지하철역사"
"2016-01-01 00:00:00","서울","1호선","0153","종로3가","1173239","1118129","서울특별시","종로구","종로3가","10-5 1호선 종로3가역"
"2016-01-01 00:00:00","서울","1호선","0154","종로5가","824771","820655","서울특별시","종로구","종로5가","82-1 1호선 종로5가역"
"2016-01-01 00:00:00","서울","1호선","0155","동대문","459219","526344","서울특별시","종로구","창신동","492-1 1호선 동대문역"
"2016-01-01 00:00:00","서울","1호선","0156","신설동","476275","461568","서울특별시","동대문구","신설동","76-5 신설동역"
"2016-01-01 00:00:00","서울","1호선","0157","제기동","586002","598961","서울특별시","동대문구","제기동","65 제기동역"
"2016-01-01 00:00:00","서울","1호선","0158","청량리(지하)","891211","922482","서울특별시","동대문구","전농동","620-69 청량리역"
"2016-01-01 00:00:00","서울","1호선","0159","동묘앞","281335","299777","서울특별시","종로구","숭인동","117 동묘앞역"
"2016-01-01 00:00:00","서울","2호선","0202","을지로입구","1549556","1538538","서울특별시","중구","을지로1가","100-1 을지로입구역 2호선"
"2016-01-01 00:00:00","서울","2호선","0203","을지로3가","589050","580734","서울특별시","중구","을지로3가","347-3 을지로3가역 2호선"
"2016-01-01 00:00:00","서울","2호선","0204","을지로4가","382930","376266","서울특별시","중구","을지로4가","267-1 을지로4가역 2호선"
"2016-01-01 00:00:00","서울","2호선","0205","동대문역사문화공원","509378","578237","서울특별시","중구","을지로7가","112-3 동대문역사문화공원역 2호선"
"2016-01-01 00:00:00","서울","2호선","0206","신당","441432","468039","서울특별시","중구","신당동","99 신당역 2호선"
"2016-01-01 00:00:00","서울","2호선","0207","상왕십리","317097","300714","서울특별시","성동구","하왕십리동","946-14 상왕십리역"
"2016-01-01 00:00:00","서울","2호선","0209","한양대","240219","267215","서울특별시","성동구","행당동","산17 한양대역"
"2016-01-01 00:00:00","서울","2호선","0210","뚝섬","447765","472300","서울특별시","성동구","성수동1가","656-745 뚝섬역"
"2016-01-01 00:00:00","서울","2호선","0211","성수","731626","799034","서울특별시","성동구","성수동2가","300-1 성수역"
"2016-01-01 00:00:00","서울","2호선","0212","건대입구","1333148","1458934","서울특별시","광진구","화양동","7-3 2호선 건대입구역"
"2016-01-01 00:00:00","서울","2호선","0213","구의","718099","704770","서울특별시","광진구","구의동","245-24 2호선 구의역"
"2016-01-01 00:00:00","서울","2호선","0214","강변","1471365","1456627","서울특별시","광진구","구의동","546-6 2호선 강변역"
"2016-01-01 00:00:00","서울","2호선","0215","잠실나루","524156","500197","서울특별시","송파구","신천동","15 잠실나루역"
"2016-01-01 00:00:00","서울","2호선","0216","잠실","2517093","2331882","서울특별시","송파구","잠실동","8 잠실역2호선"
"2016-01-01 00:00:00","서울","2호선","0217","신천","787424","781689","서울특별시","송파구","잠실동","33 신천역"
"2016-01-01 00:00:00","서울","2호선","0218","종합운동장","348458","382260","서울특별시","송파구","잠실동","122 종합운동장역"
"2016-01-01 00:00:00","서울","2호선","0219","삼성","1668085","1707259","서울특별시","강남구","삼성동","172-66 삼성역"
"2016-01-01 00:00:00","서울","2호선","0220","선릉","1654730","1418971","서울특별시","강남구","삼성동","172-66 선릉역"
"2016-01-01 00:00:00","서울","2호선","0221","역삼","1403960","1529921","서울특별시","강남구","역삼동","804 역삼역"
"2016-01-01 00:00:00","서울","2호선","0222","강남","3262138","3309679","서울특별시","강남구","역삼동","858 강남역"
"2016-01-01 00:00:00","서울","2호선","0223","교대","1111588","1224115","서울특별시","서초구","서초동","1748-4 교대역"
"2016-01-01 00:00:00","서울","2호선","0224","서초","663089","672566","서울특별시","서초구","서초동","1748-5 서초역"
"2016-01-01 00:00:00","서울","2호선","0225","방배","575863","580098","서울특별시","서초구","방배동","912-14 방배역"
"2016-01-01 00:00:00","서울","2호선","0226","사당","1300992","1453038","서울특별시","동작구","사당동","1129 사당역(2호선)"
"2016-01-01 00:00:00","서울","2호선","0227","낙성대","914208","882462","서울특별시","관악구","봉천동","1693-39 2호선 낙성대역사"
"2016-01-01 00:00:00","서울","2호선","0228","서울대입구","1554850","1529357","서울특별시","관악구","봉천동","979-2 서울대입구역사"
"2016-01-01 00:00:00","서울","2호선","0229","봉천","704420","659666","서울특별시","관악구","봉천동","979-7 2호선 봉천역사"
"2016-01-01 00:00:00","서울","2호선","0230","신림","2200199","2162514","서울특별시","관악구","신림동","1467-10 2호선 신림역사"
"2016-01-01 00:00:00","서울","2호선","0231","신대방","814906","781024","서울특별시","동작구","신대방동","643-1 신대방역2호선"
"2016-01-01 00:00:00","서울","2호선","0232","구로디지털단지","1891279","1902007","서울특별시","구로구","구로동","810-3 구로디지털단지역"
"2016-01-01 00:00:00","서울","2호선","0233","대림","932677","968867","서울특별시","구로구","구로동","1204 대림역"
"2016-01-01 00:00:00","서울","2호선","0234","신도림","1891931","1865371","서울특별시","구로구","신도림동","460-26 2호선 신도림역"
"2016-01-01 00:00:00","서울","2호선","0235","문래","555154","562518","서울특별시","영등포구","문래동3가","68-1 문래역"
"2016-01-01 00:00:00","서울","2호선","0236","영등포구청","630629","630021","서울특별시","영등포구","당산로27길","지하121"
"2016-01-01 00:00:00","서울","2호선","0237","당산","629080","697299","서울특별시","영등포구","당산동6가","323-1 당산역"
"2016-01-01 00:00:00","서울","2호선","0238","합정","984922","1006436","서울특별시","마포구","서교동","393 합정역"
"2016-01-01 00:00:00","서울","2호선","0239","홍대입구","2291224","2429840","서울특별시","마포구","동교동","165 홍대입구역"
"2016-01-01 00:00:00","서울","2호선","0240","신촌","1557480","1586341","서울특별시","마포구","노고산동","31-11 신촌역"
"2016-01-01 00:00:00","서울","2호선","0241","이대","593137","616473","서울특별시","마포구","염리동","8-85 이대역"
"2016-01-01 00:00:00","서울","2호선","0242","아현","285835","269421","서울특별시","마포구","아현동","354-23 아현역"
"2016-01-01 00:00:00","서울","2호선","0243","충정로","336465","358664","서울특별시","서대문구","충정로3가","319-1 충정로역(2호선)"
"2016-01-01 00:00:00","서울","2호선","0244","용답","73074","73374","서울특별시","성동구","용답동","127 용답역"
"2016-01-01 00:00:00","서울","2호선","0245","신답","38211","43326","서울특별시","성동구","용답동","129-2 신답역"
"2016-01-01 00:00:00","서울","2호선","0247","도림천","28461","31468","서울특별시","구로구","신도림동","323-16 도림천역"
"2016-01-01 00:00:00","서울","2호선","0248","양천구청","210919","222507","서울특별시","양천구","신정동","276-7 양천구청역"
"2016-01-01 00:00:00","서울","2호선","0249","신정네거리","318478","321648","서울특별시","양천구","신정동","1231 신정네거리역"
"2016-01-01 00:00:00","서울","2호선","0250","용두","66044","70119","서울특별시","동대문구","용두동","47-1 용두역"
"2016-01-01 00:00:00","서울","3호선","0309","지축","34664","36144","경기도","고양시","덕양구","지축동 818-64 지축차량기지"
"2016-01-01 00:00:00","서울","3호선","0310","구파발","493819","408027","서울특별시","은평구","진관동","67-26 3호선 구파발역사무소"
"2016-01-01 00:00:00","서울","3호선","0311","연신내","1212772","1155470","서울특별시","은평구","갈현동","397 3"
"2016-01-01 00:00:00","서울","3호선","0312","불광","568398","618580","서울특별시","은평구","대조동","14-1 3"
"2016-01-01 00:00:00","서울","3호선","0313","녹번","428597","371494","서울특별시","은평구","녹번동","55 지하철3호선 녹번역"
"2016-01-01 00:00:00","서울","3호선","0314","홍제","581135","546669","서울특별시","서대문구","홍제동","161-1 홍제역"
"2016-01-01 00:00:00","서울","3호선","0315","무악재","125368","124254","서울특별시","서대문구","홍제동","26-1 무악재역"
"2016-01-01 00:00:00","서울","3호선","0316","독립문","216671","221035","서울특별시","서대문구","현저동","101 독립문역"
"2016-01-01 00:00:00","서울","3호선","0317","경복궁","639833","671747","서울특별시","종로구","적선동","81-1 3호선 경복궁역"
"2016-01-01 00:00:00","서울","3호선","0318","안국","760343","818722","서울특별시","종로구","안국동","155-2 3호선 안국역"
"2016-01-01 00:00:00","서울","3호선","0321","충무로","38","0","서울특별시","중구","필동2가","16-2 충무로역 3"
"2016-01-01 00:00:00","서울","3호선","0322","동대입구","308658","339395","서울특별시","중구","장충동2가","199-3 동대입구역 3호선"
"2016-01-01 00:00:00","서울","3호선","0323","약수","424815","408703","서울특별시","중구","신당동","369-44 약수역 3호선"
"2016-01-01 00:00:00","서울","3호선","0324","금호","230334","212638","서울특별시","성동구","금호동4가","1470 금호역"
"2016-01-01 00:00:00","서울","3호선","0325","옥수","291101","307042","서울특별시","성동구","동호로","지하21"
"2016-01-01 00:00:00","서울","3호선","0326","압구정","1092262","1194878","서울특별시","강남구","신사동","668 압구정역"
"2016-01-01 00:00:00","서울","3호선","0327","신사","947159","1026367","서울특별시","강남구","신사동","667 신사역"
"2016-01-01 00:00:00","서울","3호선","0328","잠원","157715","153661","서울특별시","서초구","잠원동","100-1 잠원역"
"2016-01-01 00:00:00","서울","3호선","0329","고속터미널","1680071","1737950","서울특별시","서초구","반포동","19-11 강남고속터미널역"
"2016-01-01 00:00:00","서울","3호선","0331","남부터미널","1102907","1125382","서울특별시","서초구","서초동","1748-30 남부터미널역"
"2016-01-01 00:00:00","서울","3호선","0332","양재","1233103","1313518","서울특별시","서초구","서초동","1366-9 양재역"
"2016-01-01 00:00:00","서울","3호선","0333","매봉","352942","338270","서울특별시","강남구","도곡동","179-2 매봉역"
"2016-01-01 00:00:00","서울","3호선","0334","도곡","204680","196724","서울특별시","강남구","도곡동","339-2 도곡역"
